,author,category,content,published_date,title
0,Krishna Veera Vanamali,business,"The RBI on Thursday kept the repo rate unchanged after five cuts this year. In 2019, the RBI has cut repo rate by 135 basis points so far but banks have passed on only a fraction of rate cuts to consumers. The status quo comes despite data showing growth slumping to a six-and-a-half-year low of 4.5% in the July-September quarter.",2019-12-05T06:25:25.000Z,RBI keeps repo rate unchanged at 5.15% after five cuts this year
1,Pragya Swastik,business,"Former Finance Minister P Chidambaram on Thursday said, ""Nothing sums up the state of the economy better than the following series of numbers: 8, 7, 6.6, 5.8, 5 and 4.5."" He added, ""Those are the quarterly growth rates of GDP in the last six quarters."" ""We'll be lucky if growth rate touches 5% by the year's end,"" he further said.",2019-12-05T10:41:04.000Z,"8, 7, 6.6, 5.8, 5 & 4.5 is the state of economy: Chidambaram on GDP growth"
2,Pragya Swastik,business,Congress leader P Chidambaram walked out of Tihar Jail on Wednesday evening after spending 106 days in custody in connection with the INX Media case. His release came after the Supreme Court today granted him bail on conditions like surrendering his passport and making himself available for questioning. Chidambaram was arrested on August 21 by the Central Bureau of Investigation.,2019-12-04T14:57:31.000Z,P Chidambaram walks out of Tihar Jail after 106 days
3,Kanishka Pandey,business,"Google Co-founders Sergey Brin and Larry Page added a combined $2.3 billion to their net worths after Google-parent Alphabet's stock rose about 2%, Bloomberg revealed. This came after Google's 47-year-old India-born CEO Sundar Pichai on Wednesday was also named Alphabet CEO. The two co-founders each own about 6% of the internet giant and still control Alphabet through special voting shares.",2019-12-05T06:36:23.000Z,Google Co-founders gain $2.3B after Sundar Pichai made Alphabet CEO
4,Kanishka Pandey,business,"Tesla and SpaceX founder and CEO Elon Musk, in an ongoing defamation case by Thai cave rescuer Vernon Unsworth, testified that he estimates his net worth around $20 billion. However, Musk said his net worth comprises stocks in the aforementioned entities, with debt against those holdings, and is largely illiquid. The Bloomberg Billionaires Index puts his fortune at $26.6 billion.",2019-12-05T06:11:10.000Z,"Musk says in court his net worth is around $20 bn, not much in cash"
5,Arshiya Chopra,business,"Nirav Modi has been declared a fugitive economic offender under Fugitive Economic Offenders Act by a special Mumbai court in connection with ₹14,000-crore Punjab National Bank scam case. The court will also give a judgement regarding confiscation of his properties later. Nirav is currently lodged in the UK's Wandsworth Prison.",2019-12-05T07:11:15.000Z,"Nirav Modi declared fugitive economic offender over ₹14,000-crore PNB scam"
6,Krishna Veera Vanamali,business,"In a bid to provide relief to depositors of scam-hit Punjab and Maharashtra Cooperative (PMC) Bank, Maharashtra government has suggested a merger of the bank with the Maharashtra State Cooperative Bank. If needed, the state government will speak to the RBI on the issue of the merger, state minister Jayant Patil said. He added that MSC Bank's health is good.",2019-12-05T12:42:14.000Z,Maharashtra govt suggests merger of PMC Bank with MSC Bank
7,Krishna Veera Vanamali,business,"The Finance Ministers of several states met Union Finance Minister Nirmala Sitharaman on Wednesday urging her to release the pending bi-monthly GST compensation, paid to states for their loss of revenue following GST implementation. ""We can't come to Delhi every day, we feel embarrassed. Government is under obligation to pay,"" Punjab Finance Minister Manpreet Singh Badal said after the meeting.",2019-12-04T12:52:41.000Z,"Feel embarrassed to ask, govt must pay: States to FM on GST compensation"
8,Krishna Veera Vanamali,business,"Vistara Chief Commercial Officer Sanjiv Kapoor responded to a Twitter user who posted a picture of an air hostess sleeping at an airport. The user asked Vistara to ""improve"" its image.  ""We don't condone such photos being taken of our crew...without permission. Our crew...are human too. We suggest you do the right thing and take the photo down,"" Kapoor said.",2019-12-04T14:43:33.000Z,Our crew are human too: Vistara after user posts pic of air hostess sleeping
9,Krishna Veera Vanamali,business,"The RBI on Thursday lowered its GDP growth forecast for 2019-20 to 5% from 6.1% in the October policy. While it kept the repo rate unchanged at 5.15%, the RBI reiterated that it would maintain an accommodative stance as long as it is necessary to revive growth. ""There is space available for further monetary policy action,"" Governor Shaktikanta Das said.",2019-12-05T09:29:22.000Z,RBI cuts India's GDP growth forecast for the current fiscal to 5%
